UniProtKB/Swiss-Prot ID	Gene stable ID	Gene name	HGNC symbol	Gene type	Source (gene)
O00193	ENSG00000110696	C11orf58	C11orf58	protein_coding	ensembl_havana
O14494	ENSG00000067113	PLPP1	PLPP1	protein_coding	ensembl_havana
O14495	ENSG00000162407	PLPP3	PLPP3	protein_coding	ensembl_havana
O43847	ENSG00000078618	NRDC	NRDC	protein_coding	ensembl_havana
O75323	ENSG00000146729	NIPSNAP2	NIPSNAP2	protein_coding	ensembl_havana
O94826	ENSG00000154174	TOMM70	TOMM70	protein_coding	ensembl_havana
O94903	ENSG00000147471	PLPBP	PLPBP	protein_coding	ensembl_havana
O95810	ENSG00000168497	CAVIN2	CAVIN2	protein_coding	ensembl_havana
P01593	ENSG00000239975	IGKV1D-33	IGKV1D-33	IG_V_gene	ensembl_havana
P01599	ENSG00000240382	IGKV1-17	IGKV1-17	IG_V_gene	havana
P01599	ENSG00000281978	IGKV1-17	IGKV1-17	IG_V_gene	havana
P01611	ENSG00000278857	IGKV1D-12	IGKV1D-12	IG_V_gene	havana
P01614	ENSG00000251039	IGKV2D-40	IGKV2D-40	IG_V_gene	ensembl_havana
P01615	ENSG00000242534	IGKV2D-28	IGKV2D-28	IG_V_gene	ensembl_havana
P01701	ENSG00000211644	IGLV1-51	IGLV1-51	IG_V_gene	ensembl_havana
P01703	ENSG00000211653	IGLV1-40	IGLV1-40	IG_V_gene	havana
P01703	ENSG00000274575	IGLV1-40	IGLV1-40	IG_V_gene	ensembl_havana
P01714	ENSG00000211663	IGLV3-19	IGLV3-19	IG_V_gene	havana
P01717	ENSG00000211659	IGLV3-25	IGLV3-25	IG_V_gene	havana
P01742	ENSG00000282350	IGHV1-69	IGHV1-69	IG_V_gene	havana
P01742	ENSG00000211973	IGHV1-69	IGHV1-69	IG_V_gene	ensembl_havana
P01763	ENSG00000282627	IGHV3-48	IGHV3-48	IG_V_gene	havana
P01763	ENSG00000211964	IGHV3-48	IGHV3-48	IG_V_gene	havana
P01772	ENSG00000211955	IGHV3-33	IGHV3-33	IG_V_gene	havana
P01780	ENSG00000282211	IGHV3-7	IGHV3-7	IG_V_gene	havana
P01780	ENSG00000211938	IGHV3-7	IGHV3-7	IG_V_gene	havana
P04430	ENSG00000240864	IGKV1-16	IGKV1-16	IG_V_gene	havana
P04430	ENSG00000282282	IGKV1-16	IGKV1-16	IG_V_gene	havana
P04433	ENSG00000241351	IGKV3-11	IGKV3-11	IG_V_gene	havana
P04433	ENSG00000282823	IGKV3-11	IGKV3-11	IG_V_gene	havana
P06310	ENSG00000243238	IGKV2-30	IGKV2-30	IG_V_gene	havana
P06310	ENSG00000281933	IGKV2-30	IGKV2-30	IG_V_gene	havana
P06331	ENSG00000276491	IGHV4-34	IGHV4-34	IG_V_gene	havana
P06331	ENSG00000211956	IGHV4-34	IGHV4-34	IG_V_gene	ensembl_havana
P08240	ENSG00000182934	SRPRA	SRPRA	protein_coding	ensembl_havana
P23083	ENSG00000282550	IGHV1-2	IGHV1-2	IG_V_gene	havana
P23083	ENSG00000211934	IGHV1-2	IGHV1-2	IG_V_gene	havana
P30711	ENSG00000277656	GSTT1	GSTT1	protein_coding	ensembl_havana
P49959	ENSG00000020922	MRE11	MRE11	protein_coding	ensembl_havana
P52758	ENSG00000132541	RIDA	RIDA	protein_coding	ensembl_havana
P55769	ENSG00000100138	SNU13	SNU13	protein_coding	ensembl_havana
P63244	ENSG00000204628	RACK1	RACK1	protein_coding	ensembl_havana
P80748	ENSG00000211662	IGLV3-21	IGLV3-21	IG_V_gene	havana
Q08623	ENSG00000130021	PUDP	PUDP	protein_coding	ensembl_havana
Q12768	ENSG00000164961	WASHC5	WASHC5	protein_coding	ensembl_havana
Q14197	ENSG00000167862	MRPL58	MRPL58	protein_coding	ensembl_havana
Q14696	ENSG00000117899	MESD	MESD	protein_coding	ensembl_havana
Q15257	ENSG00000119383	PTPA	PTPA	protein_coding	ensembl_havana
Q15369	ENSG00000154582	ELOC	ELOC	protein_coding	ensembl_havana
Q15370	ENSG00000103363	ELOB	ELOB	protein_coding	ensembl_havana
Q15397	ENSG00000080608	PUM3	PUM3	protein_coding	ensembl_havana
Q2M389	ENSG00000136051	WASHC4	WASHC4	protein_coding	ensembl_havana
Q53FP2	ENSG00000126950	TMEM35A	TMEM35A	protein_coding	ensembl_havana
Q53FT3	ENSG00000149196	HIKESHI	HIKESHI	protein_coding	ensembl_havana
Q53H96	ENSG00000276657	PYCR3	PYCR3	protein_coding	ensembl_havana
Q53H96	ENSG00000104524	PYCR3	PYCR3	protein_coding	ensembl_havana
Q5VYK3	ENSG00000136813	KIAA0368	KIAA0368	protein_coding	ensembl_havana
Q641Q2	ENSG00000099290	WASHC2A	WASHC2A	protein_coding	ensembl_havana
Q69YN4	ENSG00000164944	VIRMA	VIRMA	protein_coding	ensembl_havana
Q6NZI2	ENSG00000177469	CAVIN1	CAVIN1	protein_coding	ensembl_havana
Q6YP21	ENSG00000137944	KYAT3	KYAT3	protein_coding	ensembl_havana
Q7Z4V5	ENSG00000167674	HDGFL2	HDGFL2	protein_coding	ensembl_havana
Q86VR2	ENSG00000141699	RETREG3	RETREG3	protein_coding	ensembl_havana
Q8IW45	ENSG00000213995	NAXD	NAXD	protein_coding	ensembl_havana
Q8IZQ5	ENSG00000211450	SELENOH	SELENOH	protein_coding	ensembl_havana
Q8NCW5	ENSG00000163382	NAXE	NAXE	protein_coding	ensembl_havana
Q8NI60	ENSG00000163050	COQ8A	COQ8A	protein_coding	ensembl_havana
Q8TAD7	ENSG00000235162	C12orf75	C12orf75	protein_coding	ensembl_havana
Q8WWC4	ENSG00000162972	MAIP1	MAIP1	protein_coding	ensembl_havana
Q8WWX9	ENSG00000198832	SELENOM	SELENOM	protein_coding	ensembl_havana
Q92600	ENSG00000144580	CNOT9	CNOT9	protein_coding	ensembl_havana
Q92616	ENSG00000089154	GCN1	GCN1	protein_coding	ensembl_havana
Q92890	ENSG00000070010	UFD1	UFD1	protein_coding	ensembl_havana
Q969G5	ENSG00000170955	CAVIN3	CAVIN3	protein_coding	ensembl_havana
Q96HE7	ENSG00000197930	ERO1A	ERO1A	protein_coding	ensembl_havana
Q96HJ9	ENSG00000164898	FMC1	FMC1	protein_coding	havana
Q96PE1	ENSG00000020181	ADGRA2	ADGRA2	protein_coding	ensembl_havana
Q9BRP8	ENSG00000170473	PYM1	PYM1	protein_coding	ensembl_havana
Q9BU76	ENSG00000143793	C1orf35	C1orf35	protein_coding	ensembl_havana
Q9BUH6	ENSG00000148362	PAXX	PAXX	protein_coding	ensembl_havana
Q9BVL2	ENSG00000139496	NUP58	NUP58	protein_coding	ensembl_havana
Q9BW04	ENSG00000182795	C1orf116	C1orf116	protein_coding	ensembl_havana
Q9BXW7	ENSG00000069998	HDHD5	HDHD5	protein_coding	ensembl_havana
Q9C002	ENSG00000166920	C15orf48	C15orf48	protein_coding	ensembl_havana
Q9C0E8	ENSG00000144320	LNPK	LNPK	protein_coding	ensembl_havana
Q9H7M9	ENSG00000107738	VSIR	VSIR	protein_coding	ensembl_havana
Q9H910	ENSG00000206053	JPT2	JPT2	protein_coding	ensembl_havana
Q9NWY4	ENSG00000056050	HPF1	HPF1	protein_coding	ensembl_havana
Q9NXR7	ENSG00000158019	BABAM2	BABAM2	protein_coding	ensembl_havana
Q9UK76	ENSG00000189159	JPT1	JPT1	protein_coding	ensembl_havana
Q9Y3E1	ENSG00000166503	HDGFL3	HDGFL3	protein_coding	ensembl_havana
Q9Y4K1	ENSG00000112297	CRYBG1	CRYBG1	protein_coding	ensembl_havana
Q9Y6N5	ENSG00000137767	SQOR	SQOR	protein_coding	ensembl_havana
